Id,Sales_Price,Baths,Land_size,Beds,House_size,Location
7812,45000000,4,11,5,3800,"Talawatugoda,Colombo"
7813,7500000,1,25,2,1500,"KalutaraCity,Kalutara"
7814,57500000,4,17.7,3,2500,"Talawatugoda,Colombo"
7815,42000000,4,10,4,2500,"Dehiwala,Colombo"
7816,4600000,1,6,2,900,"Delgoda,Gampaha"
7817,14000000,2,10,2,1800,"Wattala,Gampaha"
7818,15500000,2,15,3,1450,"Kottawa,Colombo"
7819,110000000,6,5.4,6,3700,"Colombo5,Colombo"
7820,13800000,2,14,4,1800,"Katunayake,Gampaha"
7821,22000000,2,14,3,2500,"Wattala,Gampaha"
7822,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7823,19500000,2,12.5,3,2000,"Negombo,Gampaha"
7824,19000000,3,4,5,3300,"Kolonnawa,Colombo"
7825,7500000,2,19,2,2400,"Beruwala,Kalutara"
7826,16500000,2,12.5,3,1650,"Negombo,Gampaha"
7827,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7828,16800000,3,11.5,3,1660,"Piliyandala,Colombo"
7829,23000000,4,7,4,2600,"Malabe,Colombo"
7830,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7831,12500000,1,10,3,1188,"Kadawatha,Gampaha"
7832,9900000,1,10,3,1450,"Negombo,Gampaha"
7833,17000000,2,11,3,1550,"Negombo,Gampaha"
7834,20500000,2,10,3,1650,"Negombo,Gampaha"
7835,6000000,1,7,2,950,"Panadura,Kalutara"
7836,49500000,4,10,4,4200,"Talawatugoda,Colombo"
7837,40000000,5,11,5,3500,"Talawatugoda,Colombo"
7838,120000000,3,45,5,4012,"Battaramulla,Colombo"
7839,8500000,1,14,2,1200,"Piliyandala,Colombo"
7840,26500000,4,10,4,4300,"Malabe,Colombo"
7841,11000000,2,10,5,2100,"Negombo,Gampaha"
7842,26500000,3,43,3,2850,"Negombo,Gampaha"
7843,6500000,1,75,3,1600,"KurunegalaCity,Kurunegala"
7844,29000000,4,10,4,2600,"Athurugiriya,Colombo"
7845,24800000,4,6,4,2852,"Piliyandala,Colombo"
7846,28000000,4,10,4,2800,"Athurugiriya,Colombo"
